id,title,content
11,Uống vào thời gian nào,"ĐA SỐ các thuốc/thực phẩm được chỉ định uống sau ăn là do trong thành phần có hoạt chất gây kích ứng dạ dày. Còn các thuốc/thực phẩm được chỉ định uống trước ăn là do nếu uống sau ăn thì nước và thức ăn sẽ gây ảnh hưởng đến hoạt động của hoạt chất này làm giảm hiệu quả của sản phẩm. Ngoài ra một số sản phẩm chuyên sâu thì sẽ có một số lý do khác nữa. Đối với sản phẩm của Midu MenaQ7 thì không có hoạt chất nào gây kích ứng dạ dày và cũng không ảnh hưởng gì khi ăn uống cùng các đồ ăn thức uống khác. Và tuyệt vời hơn nữa là sử dụng canxi không lắng đọng và hàm lượng Vitamin D3, Vitamin K2 đã đủ để chuyển hóa 90% canxi nên có thể dùng sáng - trưa - chiều - tối ạ"
12,Nhu cầu chuyển hóa nhiều canxi ở trẻ có chiều cao vượt trộiNó có liên quan trực tiếp đến nồng độ canxi trong máu không?,"Mỗi độ tuổi sẽ có chiều cao chuẩn, lượng canxi trong cơ thể là như nhau. Nhưng các bạn cao vượt trội, lượng canxi đó cần phân tán ra nhiều nơi hơn nên mật độ canxi sẽ thấp hơn các bạn dưới chuẩn - các bạn cao vượt trội thì mật độ xương của bạn ấy bị giảm nên các bạn rất dễ bị loãng và giòn xương. Vì vậy, Các trường hợp cao trên chuẩn thì lại càng phải bổ sung vì nhu cầu chuyển hóa canxi của các bạn lại nhiều hơn những bạn thấpNồng độ canxi trong máu liên quan mật thiết đến việc mình uống canxi lắng đọng. Còn Midu thì k gây lắng đọng mà chuyển hóa trực tiếp canxi vào xương và răng. Nếu trẻ đang có nồng độ canxi trong máu cao (cả trên chuẩn hay dưới chuẩn) thì đều có nhu cầu chuyển hóa canxi vào đúng nơi cần đến"
13,Uống Arginine có bị dậy thì sớm không?,"Một số mẹ khi sử dụng 𝐀𝐫𝐠𝐢𝐧𝐢𝐧 để giúp con cao lớn vượt trội bằng cách tăng 𝐡𝐨𝐫𝐦𝐨𝐧 𝐭𝐚̆𝐧𝐠 𝐭𝐫𝐮̛𝐨̛̉𝐧𝐠 tự nhiên (GH) có băn khoăn là tăng hormon tăng trưởng có khiến con DẬY THÌ SỚMCâu trả lời là CHẲNG LIÊN QUAN GÌ CẢ👉 Hormon tăng trưởng là GH còn hormon sinh dục phần lớn là testosterone ở nam và estrogen ở nữ.👉 Hormon tăng trưởng giúp bạn nhỏ lớn lên, còn hormon sinh dục giúp hoàn thành nhiệm vụ sinh sản👉 Hormon tăng trưởng được tiết ra từ tuyến yên, còn hormon sinh dục tiết ra từ tuyến sinh dục và tuyến thượng thận.👉 Lúc nào trong con người cũng có hormon tăng trưởng. Các em bé dưới 1 tuổi thì hormon tăng trưởng rất mạnh. Người đã trưởng thành cũng vẫn tiết ra hormon tăng trưởng tuy nhiên chỉ giúp mập ra chứ không cao được nữa do sụn đầu xương đã đóng. 👉 Chính hormon sinh dục là nguyên nhân làm đóng sụn đầu xương.Trong một số trường hợp, việc dư thừa hormon tăng trưởng có thể làm trễ dậy thì. Nên các mẹ lo lắng về việc tăng hormon tăng trưởng sẽ khiến con dậy thì sớm là hoàn toàn ngược nhé ‼️"
14,Có chương khuyến mại không,"Chị ơi hiện Midu MenaQ7 tập trung vào việc hỗ trợ các anh chị đối tác kinh doanh thông qua huấn luyện đào tạo để trở thành chuyên gia phát triển chiều cao, các công cụ marketing, phễu bán hàng như phần mềm dự đoán chiều cao... chứ không tập trung vào việc khuyến mại chị ah"
15,"E ơi, như bảng chỉ số này có fải hàm lượng canxi bên mình là quá thấp không. Nếu giả sử khách hỏi mình về lượng canxi nguyên tố hấp thu vào cơ thể, họ thấy chỉ số bên mình thấp nhất. Ngoài việc mình giải thích canxi bên mình hấp thu hoàn toàn trong nước thì còn điểm trội nào nữa để thuyết phục khách khi họ cứ căn cứ vào hàm lượng trên","Điểm khác biệt của dòng sản phẩm bên em là: Canxi không lắng đọng + Hàm lượng k2 cao (có thể tự tin cao nhất thị trường + Chuyên chở là vitamin D3. Ba mẹ có thể dễ dạng bổ sung canxi qua thực phẩm và bữa ăn hàng ngày. Nhưng chất dẫn K2 VÀ D3 thì không. Để có được 180 mcg K2 con cần bổ sung🥚 48 quả trứng🥛 24 lít sữa 🐄 19.2 kg thịt bò Không thể bổ sung lượng thực phẩm lớn vào trong cơ thể và trong 1 ngày được. BỔ SUNG CANXI NHIỀU KHÔNG TỐT, BỔ SUNG K2 NHIỀU MỚI TỐT chị nhé"
16,Có tác dụng với đau khớp không,Đối với người đau khớp. Đương nhiên Midu MenaQ7 sẽ hỗ trợ cho xương rất tốt. Tuy nhiên vẫn nên dùng thêm sản phẩm bổ sung có tác dụng trơn khớp nữa
17,hội chứng giãn đài bể thận đó hẹp ống nối niệu quản,Không nên sử dụng các loại canxi lắng đọng sẽ gây ra sỏi thận. Không nên nhịn tiểu và không uống nhiều nước cùng 1 lúc.
18,Bầu 5 tháng có dùng Midu?,"Trừ những trường hơp bệnh lí đặc biệt, mẹ có thể bổ sung canxi ngay từ tháng đầu tiên. Bác sĩ nói bổ sung canxi từ tháng thứ 3 khả năng không phải là ""3 tháng mới uống được"" mà là do sau 3 tháng thì con mới hình thành xương. Cho nên uống ở giai đoạn từ tháng thứ 4 thì tốt cho việc hình thành xương cho con.Nhưng mẹ có thể uống ngay từ tháng đầu tiên để chuẩn bị nền tảng tốt. Vì xương của con thì cũng vẫn là lấy canxi từ mẹ. Trong giai đoạn 3 tháng đầu, mẹ uống là cho mẹ chứ chưa phải cho con."
19,Nhóm zalo về sản phẩm & Bài viết,"Khi nào chị tốt nghiệp sẽ được add vào nhóm và không phải chỉ có bài viết mà còn rất nhiều tài nguyên khác. Midu không khuyến khích các anh, chị bán hàng khi chưa tốt nghiệp nên không cung cấp content sớm. Trong thời gian này, anh chị trải nghiệm cho con mình thì được. Còn bán hàng cần thấu triệt. Làm một lần thành sự nghiệp để đời luôn. Nếu không thành bà xóm, bán đủ các loại tạp hóa mà không sâu sắc lĩnh vực nào"
20,Con quá tuổi cao,"Nhìn những bạn ở tuổi này mới lo lắng đến chiều cao thì mình thấy tiếc vô cùng. Thế nên mới nói điều mà mọi người cần làm là thay đổi tư duy. Tư duy thay đổi, chiều cao thế hệ sẽ thay đổi.Nhưng cũng chỉ mấy năm nữa thôi, các anh, chị sẽ thấy rõ. Tư duy người Việt sẽ thay đổi. Sẽ giảm hẳn tư duy nghĩ tới tăng chiều cao khi quá muộn nữa. Chúng ta chính là sứ giả cho điều tuyệt vời này"
21,Uống Midu thay thế cho việc uống sữa canxi (Người trên 45 tuổi cần bổ sung canxi),Người trên 45 tuổi nếu đang đau cấp dùng Midu 180 2 - 3 ống. Còn duy trì để không bị đau thì dùng Midu 360 mỗi ngày 1 viên Midu thành phần chính là K2 - MenaQ7 chứ chỉ bổ sung canxi thì không hấp thụ được vào xương. Nếu uống sữa bổ sung canxi mà vẫn đau thậm chí lắng đọng thì còn nguy hiểm hơn
22,Không nhập được mật khẩu,
23,Sai ngày sinh,
24,Phác đồ chính xác bao nhiêu %?,Đúng 95% nếu thói quen sinh hoạt và bổ sung vẫn như vậy.Còn khi mình có điều chỉnh theo định hướng của Midu MenaQ7 thì đương nhiên là chiều cao của con sẽ tăng lên và làm thế nào để dự báo SAI là việc của phụ huynh và của Midu MenaQ7 mà
25,"Bác sĩ Hiên không phải là người tư vấn hỗ trợ các câu hỏi trong gr mình hả các bạn quản trị oi. Vì hiện trạng sức khỏe thì muôn hình muôn vẻ,","Bác sĩ Hiên là nhà sáng lập của Midu MenaQ7 chứ không phải là một chuyên gia bên ngoài. Nên đương nhiên bác sĩ luôn sẵn sàng hỗ trợ các anh chị và khách hàng. Hơn nữa với cái tâm rất lớn và sứ mệnh muốn tăng chiều cao cho người Việt thì cả nhà cũng sẽ luôn thấy rằng, việc giúp các anh chị để các anh chị giúp con cao là việc ưu tiên số 1 của bác sĩTuy nhiên, với các câu hỏi về liều lượng, cách dùng thì hoàn toàn các dược sĩ của Midu MenaQ7 sẽ trả lời được.Còn với bác sĩ cũng đã 50 tuổi và không phải là người nhanh nhẹn với các thiết bị điện tử, việc sử dụng điện thoại để nhắn tin lên hàng chục nhóm cũng gặp khó khăn với bác sĩ. Nên chỉ các câu hỏi sâu về sức khỏe thì các bạn sẽ nhờ bác sĩ trả lời riêng. Và có những vấn đề gì cần trả lời sâu, đầy đủ thì anh chị có thể xin lịch hẹn qua admin để bác sĩ tư vấn 1:1 qua điện thoại.Những anh chị đã từng kết nối 1:1 với bác sĩ đều thấy rằng bác sĩ rất nhiệt tình và tận tâm với từng các con, từng anh chị đối tác Droppii, có phải thế không ạ"
26,Bác sĩ Hiên làm việc ở viện nào,"Bác sĩ Hiên là bác sĩ chuyên khoa Nhi và có nhiều năm làm việc với vai trò là chuyên gia dinh dưỡng của các công ty Nestlé, Mead Johnson"
27,Trucal được sử dụng trong sản phẩm Midu MenaQ7 360mcg với hàm lượng 700mg tỉ lệ 23%. 23% nghĩa là gì,
28,Midu 180 chứa thành phần B6,"Trong Midu 180 nó có thành phần B6 có thể làm tỉnh táo, nên chuyển sang dùng buổi sáng để tránh mất ngủ cho các bé"
29,Tạo QR code,Anh chị em đã có tài khoản quản trị phần mềm dự đoán chiều cao có thể tự tạo QRCode của mình rất hay qua link này nhé: https://m.me/hocvien.midu.droppii?ref=TaoQR
30,Nguồn gốc của Canxi,"MenaQ7 (K2) là Natto Pharma ở NaUy hiện bây giờ đã sát nhập với tập đoàn Le Saffre của Pháp.Midu 360 có gốc canxi Trucal là của Mỹ (các anh chị google về trucal D7 thì thông tin rất là nhiều)Midu180 là Calci glucoheptonate của PhápĐó là những cái chính thôi. Còn tá dược thì nhiều thứ lắm. Có thứ ở Việt Nam cũng tổng hợp được.Nhưng nguyên liệu chính của sản phẩm của mình vẫn là MenaQ7. Key của việc tăng chiều cao cho trẻ em và chống loãng xương, giảm nguy cơ tim mạch cho người già và nó cũng là đắt nhấtMặc dù công ty Natto Pharma là công ty có trụ sở ở Na Uy và bây giờ họ đã sát nhập với Le Saffre là công ty có trụ sở ở Pháp. Nhưng những hãng dược này họ cũng có nhà máy ở nhiều nước khác nữa. Chẳng hạn Vitamin K2 (MenaQ7) mình đang nhập lại chủ yếu là lấy ở kho ở Mỹ.D3 là nguyên liệu phổ thông - không có sự chênh lệch đáng kể về chất lượng giữa các nguồn nguyên liệu. Nên nguyên liệu D3 là do nhà máy Dược Hà Tây tự cung cấp. Nguồn cũng đa dạng nhưng đa phần là của Ấn độ ạ"
31,có thể dùng chung với canxi khác được không?,Có thể dùng chung được chị nhé nhưng em không khuyến khích mình dùng chung 2 sản phẩm với nhau. Mỗi sản phẩm sẽ có liều lượng phù hợp với cơ thể tránh tình trang dùng chung gây ra bổ sung quá nhiều gây dư thừa chất ạ
32,Bầu dưới 3 tháng của uống được không? Bác sĩ nói trên 3 tháng mới uống canxi,"Trừ những trường hơp bệnh lí đặc biệt, mẹ có thể bổ sung canxi ngay từ tháng đầu tiên. Bác sĩ nói bổ sung canxi từ tháng thứ 3 khả năng không phải là ""3 tháng mới uống được"" mà là do sau 3 tháng thì con mới hình thành xương. Cho nên uống ở giai đoạn từ tháng thứ 4 thì tốt cho việc hình thành xương cho con.Nhưng mẹ có thể uống ngay từ tháng đầu tiên để chuẩn bị nền tảng tốt. Vì xương của con thì cũng vẫn là lấy canxi từ mẹ. Trong giai đoạn 3 tháng đầu, mẹ uống là cho mẹ chứ chưa phải cho con"
33,So sánh Midu 180 và 360? So sánh hàm lượng canxi như nhau nhưng giá thành khác nhạu,Khác nhau ở dạng bào chế: Viên và nướcKhác nhau ở gốc canxi của Midu 180 là Canxi Glucoheptonate (canxi hòa tan tốt nhất thế giới khả năng hòa tan 100% và đặc biệt tốt cho việc tăng chiều cao) còn canxi của Midu 360 là Trucal (canxi và hệ khoáng chất tách chiết từ sữa - đặc biệt tốt cho loãng xương)Khác nhau ở hàm lượng MenaQ7 trong Midu 360 cao gấp đôi so với Midu 180. Do MenaQ7 là đắt nhất và bỏ xa các nguyên liệu còn lại (chiếm tới hơn 80% giá trị thành phẩm) nên hàm lượng MenaQ7 quyết định giá sản phẩm chứ không phải canxi.
34,Xương thủy tinh có dùng được sp của Midu không?,sản phẩm MiduMenaQ7 rất rất cần cho Bênh nhân Xương Thủy Tinh a .Vì Vitamin K2 làm cho xương chắc khỏe chịu đươc lực nén( lực trưc tiếp theo phương thẳng đứng ) và chịu lực tác động ngang nên rất cần cho bệnh nhân xương thủy tinh: dòn dễ gãy
35,Khi dùng Midu giai đoạn đầu các con cảm thấy đau nhức đầu gối,Đây chính là dấu hiệu tốt cho thấy bạn nhỏ đã hấp thụ được tối đa nhất các dưỡng chất vào cơ thể. Hiện tượng đấy gọi là đau nhức Cơn đau tăng trưởng
36,Các bệnh nhân đã cắt tuyến giáp có sử dụng được không,Khi đã cắt tuyến giáp thì cơ thể khó bắt được canxi vào cơ thể và nên sử dụng Midu 180
37,"C có thể giải thích giúp e chút đc k ạ? E đọc 1 số tài liệu có nói hàm lượng canxi bổ sung mỗi ngày cho mỗi độ tuổi là khác nhau. Từ 9 tuổi trở lên mới bổ sung hàm lượng từ 1200mg/ngày. Mà mỗi ống bên mình có chứ 1100mg, mà liều lượng các bé sd tùy mức độ lại 1-3 ống 1 ngày, kể cả nhỏ tuổi. Mỗi ngày các bé cũng bổ sung canxi từ thức ăn rồi. Như vậy có bị quá liều k ạ",Canxi được khuyến cáo sử dụng hàng ngày đó là canxi nguyên tố. Còn lượng 1100mg là nguyên liệu canxi trong sản phẩm. Đối với Midu MenaQ7 180mcg dùng nguyên liệu canxi glucoheptonate thì tỉ lệ canxi nguyên tố chỉ chiếm khoảng 10% tức là chỉ có khoảng hơn 100mg canxi nguyên tố trong 1 ống mà thôi.Còn trong Midu MenaQ7 360mcg dùng canxi Trucal 700mg thì tỉ lệ canxi nguyên tố chiếm 23.5% tức có khoảng 164.5mg/viên chị nhé
38,Canxi Nano,"Điểm đặc biệt của canxi nano đúng là tăng khả năng gấp 200 lần so với khả năng hấp thu canxi trong các nhóm thông thườngNhưng với các vi phân tử nhỏ, nó sẽ vô tình vào hàng rào Bowman của thận và sẽ gây ra lắng đọng nhiều hơn. Hơn nữa canxi nano có thể tự động đi vào các cơ quan tổ chức và gây ra lấp đầy thành mạch, rất dễ gây tắc mạch anh nhé."
39,,Canxi nano là nói về kích thước phân tử và công nghệ sản xuất. Còn hữu cơ vô cơ là nó liên quan tới cấu trúc hóa học. Vô cơ vẫn có thể kích thước micro hoặc kích thước nanoNên so sánh thì mình chỉ so sánh canxi hữu cơ và canxi vô cơ với nhau.
40,Canxi sinh học là gì?,"Có 1-2 sản phẩm gần đây cũng quảng cáo là canxi sinh học. Thực ra đây là cách gọi thôi còn bản chất thì cái gì cũng là sinh học hết. Như canxi sinh học ở những công ty này quảng cáo thì nó cũng là 1 hệ khoáng chất không phải chỉ mình canxi. Bản chất Trucal của mình cũng vậy, là một hệ khoáng chất được tách chiết từ sữa.Còn kết quả từ canxi gọi là canxi sinh học thì chưa rõ vì chưa đủ thời gian để tạo ra kết quả và chưa có nghiên cứu lâm sàng cụ thể."
41,"glucosamin có trong Midu360 được khuyến cáo không dùng cho trẻ dưới 18 tuổi, phụ nữ có thai và đang cho con bú?","Glucosamin là chất giúp hỗ trợ điều trị xương khớp. Với liều lượng thường dùng cho bệnh nhân bị bệnh khớp là 1500mg. Theo các tài liệu, bài báo ở trên thì glucosamin với liều lượng tương tự không nên dùng cho trẻ emNhưng glucosamin dùng trong Midu MenaQ7 360 không phải với mục tiêu và liều lượng như việc hỗ trợ điều trị xương khớp mà đây là 1 trong 4 hoạt chất của Hệ Cartidyss. Và trong Cartidyss thì chỉ dùng khoảng 6.4-9.6mg. Cả 4 hoạt chất trong Cartidyss sẽ hiệp đồng tác dụng để hỗ trợ phát triển hệ cân cơ, để cùng phát triển với xương.Cartidyss là hệ dược chất bao gồm 4 hoạt chất trên (ảnh thành phần midu360) không tách rời và tổng tất cả chỉ 50mg."
42,thoái hóa cột sống,"Thoái hóa cốt sống là do loãng xương, phần xương dưới sụn bị tổn thương, giảm hoặc mất tính đàn hồi của đĩa đệm chị bổ sung là Midu 360 1 viên/ngày. Bổ sung thêm nhiều nước và thường xuyên vận động tăng độ dẻo dai cho vùng cột sống. Tránh mang vác nặng chị nhé"
43,Thoát vị đĩa đệm,"Thoát vị đĩa đệm đè ép vào rễ dây thần kinh tọa sẽ gây chứng đau thắt lưng,Theo thời gian, nhân đệm bị mất dần thành phần nước và trở nên cứng, giòn, dễ gãy, trượt ra khỏi vị trí bản lề giữa hai đốt sống. chị cho khách sử dụng Midu180 4 ống/ngày trong 3 tháng sau đó duy trì 1 viên Midu360/ngày ạ duy trì 1 viên midu 360/ ngày. tránh mang vác nặng chị nhé"
44,người lớn bị mỡ máu cao thì dùng midu 360 có giúp làm sạch thành mạch được k ạ,"Người bị mỡ máu cao là Cholesterol xấu càng cao càng làm cho xơ vữa động mạch, từ đó sẽ hạn chế lưu thông máu, Midu có thành phần K2 vượt trội làm sạch mạch máu, lưu thông khí huyết, chị cho bổ sung Midu 180 2 ống/ngày chị nhé"
45,"Các anh chị cho em hỏi, khách bên em có hỏi liều lượng Vitamim K2 dưới dạng MK7 thì theo khuyến nghị là dùng từ 150mcg - 180mcg /ngày. Vậy trường hợp bé dùng 2 ống /ngày thì là dư thừa vitamin K2 đúng ko ạ. Mong anh chị giải đáp giúp.","Khuyến nghị đó là Hãng khuyến cáo với các bạn bình thường thể trạng tốt. Đặc biệt là các bạn phương Tây mục tiêu về chiều cao là không nhiều. Còn các bạn muốn cao hơn, muốn vượt trội thì cần phải dùng với liều lượng cao hơn. Có những trường hợp đặc biệt hiện tại Bác sĩ Hiên cho dùng liều lượng 1800mcg 1 ngày (tương đương 10 ống). Vitamin K2 tan tốt trong nước và nếu dư thừa sẽ đào thải hoàn toàn."
46,canxi glucoheptonat được chiết xuất từ đâu?,Muối Canxi Glucoheptonat được tổng hợp trong phòng thí nghiệm và được sản xuất ở nhà máy hóa dược. không phải là sản phẩm được chiết xuất từ tự nhiên nên có chất lượng vô cùng ổn định
47,giãn tĩnh mạch,"Có thể dùng được chị nhé, vì Midu MenaQ7 có thể làm sạch mạch máu. Mình sử dụng Midu 180 2 ống/ngày lộ trình trong 6 tháng, các trường hợp giãn nặng thì mình khuyên khách là đeo tất, ít đi lại, lúc ngủ kê cao gối chân cũng là các phương pháp điều trị ạ"
48,thalassemia,Vitamin K2 cân bằng canxi nên không ảnh hưởng đến chế độ đông máu
49,Sỏi thận,"Các trường hợp sỏi thận thì vẫn có thể dùng được anh nhé, Vì Midu là Canxi không gây lắng đọng nên k gây sỏi thận mà phần nào có thể móc sỏi thận ra ạ"
50,"Hướng dẫn bổ sung Midu MenaQ7 180mcg cho người: ung thư giáp, bướu cổ, ung thư xương, bệnh xương thủy tinh, tiểu đường, chạy thận, chạy thận nhân tạo.",Ngày dùng 2 - 4 ống (hàng ngày)
51,viêm tụy,"có thể dùng midu, kết hợp thêm cho dùng vừng đen và bột sắn dây nấu chín giúp nhuận tràng"
52,Lượng K2 và D3 tối đa là bao nhiêu?,"K2 được đáp ứng trên 7 nhóm trẻ, nhóm sơ sinh được quy định là 45mcg, ở các nhóm khác sẽ lần lượt là 135mcg, và 360 cmg . Và 45 cmg có thể bổ sung trong chế độ ăn bình thường mà chưa cần bổ sung qua đường uống. Lượng K2 càng có nhiều thì lượng canxi sẽ được gắn càng nhiều. Nhưng đó là tỷ lệ K2 chuẩn. K2 không những gắn canxi từ trong midu 180 ( với 95 ion canxi), mà hàm lượng K2 trong Midu giúp gắn các canxi thừa khác trong chế độ ăn và khẩu phần ăn hàng ngày nữa ạ - Lượng K2 chuẩn giúp gắn canxi trong các nguồn thức ăn mình có. Tỷ lệ K2 càng cao thì sẽ giúp cơ thể làm ""nhiều điều tuyệt vời hơn"" như sạch mạch máu, tốc độ xử lý nhanh hơn,... Sử dụng vitamin D3 với hàm lượng tối thiểu là 2000 tối đa có thể lên 5000 thậm chí 10000 UI trong 1 ngày mà vẫn k sao (đây được xem là ngưỡng an toàn). D3 sẽ được hấp thu ở gan và được phóng thích chậm, dần dần chị nhé."
53,"cho mình hỏi hàm lượng canxi, Mk7 và D3 dùng tối đa/ người/ ngày là bao nhiêu?","Sẽ không có hàm lượng tối đa, mà chỉ có hàm lượng tối thiểu chị nhé. Canxi được khuyến cáo sử dụng hàng ngày đó là canxi nguyên tố. Còn lượng 1100mg là nguyên liệu canxi trong sản phẩm. Đối với Midu MenaQ7 180mcg dùng nguyên liệu canxi glucoheptonate thì tỉ lệ canxi nguyên tố chỉ chiếm khoảng 10% tức là chỉ có khoảng hơn 100mg canxi nguyên tố trong 1 ống.Sử dụng vitamin D3 với hàm lượng tối thiểu là 2000 tối đa có thể lên 5000 thậm chí 10000 UI trong 1 ngày mà vẫn không sao (đây được xem là ngưỡng an toàn). D3 sẽ được hấp thu ở gan và được phóng thích chậm, dần dần chị nhé.Ví dụ liều lượng Vitamim K2 dưới dạng MK7 thì theo khuyến nghị là dùng từ 150mcg - 180mcg /ngày. Vậy trường hợp bé dùng 2 ống /ngày có bị dư không thì câu trả lời vẫn là không chị ạ.Khuyến nghị đó là Hãng khuyến cáo với các bạn bình thường thể trạng tốt. Đặc biệt là các bạn phương Tây mục tiêu về chiều cao là không nhiều. Còn các bạn muốn cao hơn, muốn vượt trội thì cần phải dùng với liều lượng cao hơn. Có những trường hợp đặc biệt hiện tại Bác sĩ Hiên cho dùng liều lượng 1800mcg 1 ngày (tương đương 10 ống). Vitamin K2 tan tốt trong nước và nếu dư thừa sẽ đào thải hoàn toàn."
54,Vị ngọt trong Midu 180,"Vị ngọt trong Midu 180 là từ Sorbitol chị nhé.Sorbitol được biết đến nhiều với vai trò là chất tạo ngọt trong các sản phẩm bánh, kẹo, đồ uống, đặc biệt là các sản phẩm cho người TIỂU ĐƯỜNG. Hợp chất này thường làm cho thực phẩm có vị ngọt thanh mát, dễ chịu, ngoài ra với khả năng giữ ẩm, nó bảo vệ các sản phẩm này khỏi bị khô và duy trì độ tươi ban đầu của chúng trong quá trình bảo quản. Ngoài ra sorbitol còn mang nhiều công dụng khác đối với sức khỏe."
55,Hàm lượng canxi trong Midu 180,"Hàm lượng canxiglucoheptonat là 1100mg, nhưng canxi thì chỉ 95mg trong muối Canxiglucoheptonat 1100 mg hàm lượng Cancil nguyên tố là 8_10 % Cancil nguyên tố cơ thể người chỉ hấp thu được canxi nguyên tố thôi ạ"
56,Cân nặng thừa quá nhiều thì sẽ ảnh hưởng ntn tới sự phát triển chiều cao,có 2 cơ chế :1 Trọng lượng nhiều tỳ đè lên khung xương nên khó phát triển.2 Khi dư cân rất nhiều tế bào chất béo (tế bào mỡ) trực tiếp hấp thu cạnh tranh Vitamin D3 tại niêm mạc ruột nên khó tạo ra Ostecancil dạng bất hoạt nên con khó cao lên được Nên với các con béo phì có nhiều mỡ bụng (dư cân bền vững) thì cơ hội tăng chiều cao của con càng khó hơn 1 chút nữa a
